199.72.81.55,[01/Jul/1995:00:00:01,-0400],"GET,/history/apollo/,HTTP/1.0",200,6245
unicomp6.unicomp.net,[01/Jul/1995:00:00:06,-0400],"GET,/shuttle/countdown/,HTTP/1.0",200,3985
199.120.110.21,[01/Jul/1995:00:00:09,-0400],"GET,/shuttle/missions/sts-73/mission-sts-73.html,HTTP/1.0",200,4085
burger.letters.com,[01/Jul/1995:00:00:11,-0400],"GET,/shuttle/countdown/liftoff.html,HTTP/1.0",304,0
199.120.110.21,[01/Jul/1995:00:00:11,-0400],"GET,/shuttle/missions/sts-73/sts-73-patch-small.gif,HTTP/1.0",200,4179
burger.letters.com,[01/Jul/1995:00:00:12,-0400],"GET,/images/NASA-logosmall.gif,HTTP/1.0",304,0
burger.letters.com,[01/Jul/1995:00:00:12,-0400],"GET,/shuttle/countdown/video/livevideo.gif,HTTP/1.0",200,0
205.212.115.106,[01/Jul/1995:00:00:12,-0400],"GET,/shuttle/countdown/countdown.html,HTTP/1.0",200,3985
d104.aa.net,[01/Jul/1995:00:00:13,-0400],"GET,/shuttle/countdown/,HTTP/1.0",200,3985
129.94.144.152,[01/Jul/1995:00:00:13,-0400],"GET,/,HTTP/1.0",200,7074
unicomp6.unicomp.net,[01/Jul/1995:00:00:14,-0400],"GET,/shuttle/countdown/count.gif,HTTP/1.0",200,40310
unicomp6.unicomp.net,[01/Jul/1995:00:00:14,-0400],"GET,/images/NASA-logosmall.gif,HTTP/1.0",200,786
unicomp6.unicomp.net,[01/Jul/1995:00:00:14,-0400],"GET,/images/KSC-logosmall.gif,HTTP/1.0",200,1204
d104.aa.net,[01/Jul/1995:00:00:15,-0400],"GET,/shuttle/countdown/count.gif,HTTP/1.0",200,40310
d104.aa.net,[01/Jul/1995:00:00:15,-0400],"GET,/images/NASA-logosmall.gif,HTTP/1.0",200,786
d104.aa.net,[01/Jul/1995:00:00:15,-0400],"GET,/images/KSC-logosmall.gif,HTTP/1.0",200,1204
129.94.144.152,[01/Jul/1995:00:00:17,-0400],"GET,/images/ksclogo-medium.gif,HTTP/1.0",304,0
199.120.110.21,[01/Jul/1995:00:00:17,-0400],"GET,/images/launch-logo.gif,HTTP/1.0",200,1713
ppptky391.asahi-net.or.jp,[01/Jul/1995:00:00:18,-0400],"GET,/facts/about_ksc.html,HTTP/1.0",200,3977
net-1-141.eden.com,[01/Jul/1995:00:00:19,-0400],"GET,/shuttle/missions/sts-71/images/KSC-95EC-0916.jpg,HTTP/1.0",200,34029
ppptky391.asahi-net.or.jp,[01/Jul/1995:00:00:19,-0400],"GET,/images/launchpalms-small.gif,HTTP/1.0",200,11473
205.189.154.54,[01/Jul/1995:00:00:24,-0400],"GET,/shuttle/countdown/,HTTP/1.0",200,3985
waters-gw.starway.net.au,[01/Jul/1995:00:00:25,-0400],"GET,/shuttle/missions/51-l/mission-51-l.html,HTTP/1.0",200,6723
ppp-mia-30.shadow.net,[01/Jul/1995:00:00:27,-0400],"GET,/,HTTP/1.0",200,7074
